,hl,hr,thetal_radian,thetar_radian,thetal_degree,thetar_degree,center_a,center_b,time
158,-0.0001065930,0.0000161927,1.0109956000,1.7433261000,57.925780986296374,99.88522784500171,0.00047428371209578066,-0.0005406366070623089,0.0158000000
159,-0.0001067765,0.0000164301,1.0103138000,1.7450541000,57.88671672382436,99.9842349520003,0.0004762837467260041,-0.0005424403663086703,0.0159000000
160,-0.0001069576,0.0000166649,1.0096321000,1.7465355000,57.847658190930275,100.06911291977099,0.00047798076493445657,-0.0005437576695354206,0.0160000000
161,-0.0001071362,0.0000168974,1.0092912000,1.7485128000,57.82812605969428,100.18240386460221,0.0004804641823237105,-0.00054689802667481,0.0161000000
162,-0.0001073135,0.0000171269,1.0086094000,1.7499949000,57.78906179722226,100.26732193941854,0.0004821811338395749,-0.0005482396687289388,0.0162000000
163,-0.0001074883,0.0000173542,1.0082685000,1.7517260000,57.76952966598625,100.36650666333364,0.0004843776015292924,-0.0005509179791746286,0.0163000000
164,-0.0001076619,0.0000175788,1.0075868000,1.7532090000,57.730471133092166,100.45147630435154,0.0004861134235361974,-0.0005522827764270731,0.0164000000
165,-0.0001078330,0.0000178012,1.0069050000,1.7546924000,57.691406870620156,100.53646886368125,0.000487856661472771,-0.0005536555376140706,0.0165000000
166,-0.0001080017,0.0000180213,1.0072459000,1.7571700000,57.71093900185617,100.67842488700286,0.0004913967765642974,-0.0005596202084336847,0.0166000000
167,-0.0001081715,0.0000182377,1.0065641000,1.7586545000,57.67187473938415,100.76348047169003,0.0004931692323608955,-0.0005610317006470485,0.0167000000
168,-0.0001083389,0.0000184519,1.0058823000,1.7598915000,57.63281047691212,100.83435535094772,0.0004946151720203875,-0.0005619243158216464,0.0168000000
169,-0.0001085038,0.0000186641,1.0052006000,1.7613767000,57.59375194401806,100.91945104268055,0.0004964010240700889,-0.000563350242631416,0.0169000000
170,-0.0001086662,0.0000188741,1.0045188000,1.7626143000,57.55468768154604,100.99036029940595,0.0004978568288460512,-0.0005642530861509953,0.0170000000
171,-0.0001088262,0.0000190823,1.0041779000,1.7643494000,57.53515555031003,101.08977420643909,0.0005001647790021757,-0.0005670832089594962,0.0171000000
172,-0.0001089849,0.0000192878,1.0038370000,1.7658369000,57.515623419074025,101.1750016784648,0.0005021473886900361,-0.0005694002150690247,0.0172000000
173,-0.0001091423,0.0000194910,1.0031553000,1.7670755000,57.47656488617995,101.24596823096971,0.0005036242706028982,-0.000570327672103383,0.0173000000
174,-0.0001092973,0.0000196924,1.0028144000,1.7688121000,57.457032754943945,101.34546808167212,0.0005059741681071461,-0.0005732151517665771,0.0174000000
175,-0.0001094510,0.0000198912,1.0021326000,1.7699273000,57.41796849247192,101.40936433498511,0.0005072903097157253,-0.0005738848904728651,0.0175000000
176,-0.0001096023,0.0000200882,1.0024735000,1.7720397000,57.43750062370793,101.53039593962855,0.0005105568867518561,-0.0005793997364286579,0.0176000000
177,-0.0001097548,0.0000202821,1.0017917000,1.7732798000,57.398436361235916,101.60144843580272,0.0005120667626618325,-0.0005803662401690779,0.0177000000
178,-0.0001099048,0.0000204741,1.0011100000,1.7745202000,57.35937782834184,101.67251812071075,0.0005135810531336751,-0.00058133718442694,0.0178000000
